,BTC_close
2017-11-19,8042.64
2017-11-20,8244.69
2017-11-21,8099.97
2017-11-22,8234.55
2017-11-23,8013.41
2017-11-24,8200.8
2017-11-25,8754.69
2017-11-26,9318.42
2017-11-27,9733.2
2017-11-28,9906.04
2017-11-29,9837.86
2017-11-30,9946.76
2017-12-01,10861.47
2017-12-02,10912.73
2017-12-03,11246.21
2017-12-04,11623.91
2017-12-05,11667.13
2017-12-06,13749.57
2017-12-07,16850.31
2017-12-08,16047.61
2017-12-09,14843.42
2017-12-10,15059.6
2017-12-11,16732.47
2017-12-12,17083.9
2017-12-13,16286.82
2017-12-14,16467.91
2017-12-15,17604.85
2017-12-16,19345.49
2017-12-17,19065.71
2017-12-18,18972.32
2017-12-19,17523.7
2017-12-20,16461.97
2017-12-21,15632.12
2017-12-22,13664.97
2017-12-23,14396.46
2017-12-24,13789.95
2017-12-25,13833.49
2017-12-26,15756.56
2017-12-27,15416.64
2017-12-28,14398.7
2017-12-29,14392.57
2017-12-30,12531.52
2017-12-31,13850.4
2018-01-01,13444.88
2018-01-02,14754.13
2018-01-03,15156.62
2018-01-04,15180.08
2018-01-05,16954.78
2018-01-06,17172.3
2018-01-07,16228.16
2018-01-08,14976.17
2018-01-09,14468.5
2018-01-10,14919.49
2018-01-11,13308.06
2018-01-12,13841.19
2018-01-13,14243.12
2018-01-14,13638.63
2018-01-15,13631.98
2018-01-16,11282.49
2018-01-17,11162.7
2018-01-18,11175.52
2018-01-19,11521.76
2018-01-20,12783.94
2018-01-21,11549.93
2018-01-22,10814.52
2018-01-23,10858.23
2018-01-24,11429.02
2018-01-25,11175.87
2018-01-26,11104.2
2018-01-27,11459.71
2018-01-28,11767.74
2018-01-29,11233.95
2018-01-30,10107.26
2018-01-31,10226.86
2018-02-01,9114.72
2018-02-02,8870.82
2018-02-03,9251.27
2018-02-04,8218.05
2018-02-05,6937.08
2018-02-06,7701.25
2018-02-07,7592.72
2018-02-08,8260.69
2018-02-09,8696.83
2018-02-10,8569.29
2018-02-11,8084.61
2018-02-12,8911.27
2018-02-13,8544.69
2018-02-14,9485.64
2018-02-15,10033.75
2018-02-16,10188.73
2018-02-17,11097.21
2018-02-18,10417.23
2018-02-19,11182.28
2018-02-20,11256.43
2018-02-21,10481.66
2018-02-22,9847.96
2018-02-23,10175.51
2018-02-24,9705.73
2018-02-25,9610.11
2018-02-26,10326.5
2018-02-27,10594.76
2018-02-28,10334.44
2018-03-01,10929.37
2018-03-02,11043.12
2018-03-03,11465.36
2018-03-04,11504.42
2018-03-05,11440.73
2018-03-06,10735.45
2018-03-07,9928.56
2018-03-08,9316.72
2018-03-09,9252.76
2018-03-10,8797.27
2018-03-11,9544.84
2018-03-12,9142.15
2018-03-13,9160.12
2018-03-14,8217.7
2018-03-15,8268.41
2018-03-16,8283.23
2018-03-17,7883.45
2018-03-18,8215.4
2018-03-19,8623.14
2018-03-20,8920.71
2018-03-21,8911.35
2018-03-22,8724.98
2018-03-23,8934.8
2018-03-24,8548.06
2018-03-25,8472.84
2018-03-26,8152.2
2018-03-27,7808.48
2018-03-28,7959.78
2018-03-29,7106.62
2018-03-30,6853.76
2018-03-31,6943.77
2018-04-01,6835.84
2018-04-02,7074.6
2018-04-03,7434.3
2018-04-04,6815.5
2018-04-05,6790.45
2018-04-06,6634.86
2018-04-07,6917.2
2018-04-08,7049.92
2018-04-09,6789.53
2018-04-10,6871.07
2018-04-11,6977.13
2018-04-12,7927.73
2018-04-13,7899.11
2018-04-14,8022.51
2018-04-15,8376.73
2018-04-16,8079.77
2018-04-17,7921.63
2018-04-18,8189.96
2018-04-19,8301.82
2018-04-20,8877.08
2018-04-21,8935.72
2018-04-22,8823.36
2018-04-23,8968.25
2018-04-24,9655.77
2018-04-25,8873.62
2018-04-26,9282.12
2018-04-27,8938.47
2018-04-28,9351.47
2018-04-29,9407.04
2018-04-30,9248.45
2018-05-01,9077.28
2018-05-02,9232.19
2018-05-03,9745.04
2018-05-04,9699.61
2018-05-05,9845.9
2018-05-06,9644.92
2018-05-07,9377.81
2018-05-08,9196.13
2018-05-09,9321.16
2018-05-10,9032.22
2018-05-11,8421.0
2018-05-12,8486.67
2018-05-13,8709.46
2018-05-14,8672.9
2018-05-15,8480.16
2018-05-16,8344.78
2018-05-17,8071.04
2018-05-18,8247.91
2018-05-19,8249.24
2018-05-20,8533.0
2018-05-21,8419.65
2018-05-22,7992.75
2018-05-23,7505.77
2018-05-24,7584.74
2018-05-25,7475.36
2018-05-26,7355.06
2018-05-27,7362.23
2018-05-28,7118.88
2018-05-29,7474.75
2018-05-30,7393.02
2018-05-31,7502.15
2018-06-01,7530.55
2018-06-02,7643.26
2018-06-03,7719.75
2018-06-04,7503.2
2018-06-05,7629.4
2018-06-06,7661.79
2018-06-07,7700.11
2018-06-08,7627.52
2018-06-09,7513.69
2018-06-10,6773.72
2018-06-11,6887.37
2018-06-12,6556.94
2018-06-13,6310.43
2018-06-14,6643.26
2018-06-15,6396.71
2018-06-16,6503.1
2018-06-17,6457.78
2018-06-18,6714.82
2018-06-19,6741.28
2018-06-20,6761.27
2018-06-21,6720.64
2018-06-22,6051.47
2018-06-23,6166.54
2018-06-24,6157.78
2018-06-25,6260.35
2018-06-26,6088.39
2018-06-27,6141.57
2018-06-28,5871.28
2018-06-29,6203.8
2018-06-30,6385.38
2018-07-01,6339.04
2018-07-02,6615.66
2018-07-03,6509.58
2018-07-04,6590.06
2018-07-05,6534.81
2018-07-06,6602.02
2018-07-07,6758.08
2018-07-08,6707.38
2018-07-09,6668.84
2018-07-10,6306.85
2018-07-11,6394.36
2018-07-12,6253.6
2018-07-13,6229.83
2018-07-14,6268.75
2018-07-15,6364.26
2018-07-16,6740.55
2018-07-17,7326.7
2018-07-18,7383.39
2018-07-19,7477.5
2018-07-20,7333.93
2018-07-21,7405.4
2018-07-22,7398.64
2018-07-23,7718.0
2018-07-24,8395.82
2018-07-25,8170.23
2018-07-26,7937.25
2018-07-27,8182.89
2018-07-28,8230.87
2018-07-29,8216.78
2018-07-30,8176.06
2018-07-31,7735.3
2018-08-01,7610.9
2018-08-02,7542.34
2018-08-03,7417.6
2018-08-04,7017.89
2018-08-05,7042.39
2018-08-06,6945.78
2018-08-07,6723.21
2018-08-08,6285.02
2018-08-09,6543.24
2018-08-10,6153.41
2018-08-11,6242.54
2018-08-12,6322.92
2018-08-13,6263.2
2018-08-14,6199.6
2018-08-15,6274.22
2018-08-16,6323.81
2018-08-17,6591.16
2018-08-18,6405.71
2018-08-19,6502.18
2018-08-20,6269.9
2018-08-21,6491.11
2018-08-22,6366.13
2018-08-23,6538.95
2018-08-24,6708.96
2018-08-25,6749.56
2018-08-26,6720.6
2018-08-27,6915.73
2018-08-28,7091.38
2018-08-29,7052.0
2018-08-30,6998.76
2018-08-31,7026.96
2018-09-01,7203.46
2018-09-02,7301.26
2018-09-03,7270.05
2018-09-04,7369.86
2018-09-05,6705.03
2018-09-06,6515.42
2018-09-07,6411.78
2018-09-08,6200.16
2018-09-09,6249.07
2018-09-10,6324.43
2018-09-11,6295.54
2018-09-12,6337.11
2018-09-13,6492.0
2018-09-14,6486.01
2018-09-15,6522.08
2018-09-16,6502.44
2018-09-17,6261.48
2018-09-18,6346.44
2018-09-19,6398.8
2018-09-20,6505.9
2018-09-21,6762.06
2018-09-22,6716.6
2018-09-23,6702.7
2018-09-24,6583.53
2018-09-25,6437.74
2018-09-26,6462.6
2018-09-27,6686.13
2018-09-28,6635.38
2018-09-29,6603.75
2018-09-30,6623.71
2018-10-01,6594.98
2018-10-02,6525.47
2018-10-03,6492.26
2018-10-04,6579.79
2018-10-05,6632.87
2018-10-06,6589.94
