,BTC_close
2017-05-06,1545.29
2017-05-07,1554.45
2017-05-08,1664.47
2017-05-09,1697.5
2017-05-10,1752.31
2017-05-11,1819.29
2017-05-12,1686.39
2017-05-13,1763.74
2017-05-14,1772.55
2017-05-15,1708.92
2017-05-16,1729.34
2017-05-17,1801.3
2017-05-18,1880.99
2017-05-19,1962.0
2017-05-20,2040.18
2017-05-21,2044.19
2017-05-22,2124.41
2017-05-23,2272.58
2017-05-24,2445.28
2017-05-25,2307.22
2017-05-26,2244.89
2017-05-27,2052.43
2017-05-28,2189.02
2017-05-29,2278.21
2017-05-30,2192.55
2017-05-31,2303.34
2017-06-01,2412.65
2017-06-02,2492.6
2017-06-03,2545.43
2017-06-04,2524.06
2017-06-05,2704.96
2017-06-06,2870.5
2017-06-07,2691.51
2017-06-08,2798.78
2017-06-09,2811.43
2017-06-10,2900.25
2017-06-11,2973.45
2017-06-12,2656.77
2017-06-13,2712.99
2017-06-14,2467.27
2017-06-15,2442.46
2017-06-16,2508.58
2017-06-17,2655.1
2017-06-18,2539.56
2017-06-19,2616.82
2017-06-20,2754.38
2017-06-21,2677.62
2017-06-22,2722.84
2017-06-23,2710.37
2017-06-24,2590.05
2017-06-25,2541.62
2017-06-26,2446.05
2017-06-27,2583.75
2017-06-28,2577.74
2017-06-29,2558.37
2017-06-30,2480.61
2017-07-01,2424.61
2017-07-02,2536.46
2017-07-03,2572.47
2017-07-04,2617.32
2017-07-05,2627.86
2017-07-06,2614.24
2017-07-07,2513.88
2017-07-08,2564.86
2017-07-09,2511.43
2017-07-10,2344.02
2017-07-11,2324.29
2017-07-12,2403.09
2017-07-13,2362.44
